採集日期,基準地址,店家代碼,店家名稱,採集狀態,商品總數,評分,評價數,原始JSON檔案,店家網址
2026-08-25,台北市士林區中山北路七段81巷,65ae9e1ba57d889f8d434b37c9dbe205,滿福寶腸粉,SUCCESS,68,4.3,12,20260825232752_65ae9e1b_滿福寶腸粉.json,https://www.ubereats.com/tw/store/%E6%BB%BF%E7%A6%8F%E5%AF%B6%E8%85%B8%E7%B2%89/NjeYOPPCXGuPHLazY5zspQ
2026-08-25,台北市士林區中山北路七段81巷,8e9d79bb061e4380754c0238fb141025,小么雞鹹水雞 石牌店,SUCCESS,41,4.8,450,20260825232752_8e9d79bb_小么雞鹹水雞_石牌店.json,https://www.ubereats.com/tw/store/%E5%B0%8F%E4%B9%88%E9%9B%9E%E9%B9%B9%E6%B0%B4%E9%9B%9E-%E7%9F%B3%E7%89%8C%E5%BA%97/DWpUDagHUDa_d702J6h7_Q
2026-08-25,台北市士林區中山北路七段81巷,40f6c00bfc778350bcf08a2871e0f0ee,日船章魚燒小丸子 延三店,SUCCESS,7,4.8,470,20260825232752_40f6c00b_日船章魚燒小丸子_延三店.json,https://www.ubereats.com/tw/store/%E6%97%A5%E8%88%B9%E7%AB%A0%E9%AD%9A%E7%87%92%E5%B0%8F%E4%B8%B8%E5%AD%90-%E5%BB%B6%E4%B8%89%E5%BA%97/TnEaF1UXTgaDIl_U9JKCsg
2026-08-25,台北市士林區中山北路七段81巷,3ecddf288e8d3275f4360592be044f6f,大吃一斤泰國蝦料理 士林二店,SUCCESS,27,5,4,20260825232752_3ecddf28_大吃一斤泰國蝦料理_士林二店.json,https://www.ubereats.com/tw/store/%E5%A4%A7%E5%90%83%E4%B8%80%E6%96%A4%E6%B3%B0%E5%9C%8B%E8%9D%A6%E6%96%99%E7%90%86-%E5%A3%AB%E6%9E%97%E4%BA%8C%E5%BA%97/iSCU6vtqUsSKAq2FOjrj7Q
2026-08-25,台北市士林區中山北路七段81巷,5b7195c44e8bc15564229d62633210d6,士林夜市 士林老攤鐵板燒,SUCCESS,61,4.2,39,20260825232752_5b7195c4_士林夜市_士林老攤鐵板燒.json,https://www.ubereats.com/tw/store/%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82-%E5%A3%AB%E6%9E%97%E8%80%81%E6%94%A4%E9%90%B5%E6%9D%BF%E7%87%92/UTZLnQYSXM-VaZypjKHRdg
2026-08-25,台北市士林區中山北路七段81巷,5533bf2dc8b55ededf6610d547e7bbd2,好雞匯鹽水雞 五華店,SUCCESS,28,4.8,360,20260825232752_5533bf2d_好雞匯鹽水雞_五華店.json,https://www.ubereats.com/tw/store/%E5%A5%BD%E9%9B%9E%E5%8C%AF%E9%B9%BD%E6%B0%B4%E9%9B%9E-%E4%BA%94%E8%8F%AF%E5%BA%97/6OJl_CCcU1WLYejRn8tgSA
2026-08-25,台北市士林區中山北路七段81巷,a12b5340d3016ed677fc536ff6c7ee7a,龍子油飯,SUCCESS,28,4.8,700,20260825232752_a12b5340_龍子油飯.json,https://www.ubereats.com/tw/store/%E9%BE%8D%E5%AD%90%E6%B2%B9%E9%A3%AF/0GH7mFdiSPeggQqQ43QZrg
2026-08-25,台北市士林區中山北路七段81巷,b3ef2e5004b64d60f104b7230bd89023,陳家刈包四神湯l,SUCCESS,13,4.7,69,20260825232752_b3ef2e50_陳家刈包四神湯l.json,https://www.ubereats.com/tw/store/%E9%99%B3%E5%AE%B6%E5%88%88%E5%8C%85%E5%9B%9B%E7%A5%9E%E6%B9%AFl/ZEGLVmfSV5qLsbcxc1wRpA
2026-08-25,台北市士林區中山北路七段81巷,df5c6174b8b937b4ae8551efaa8db6cd,廖記生魷魚羹 竹圍店,SUCCESS,18,5,8,20260825232752_df5c6174_廖記生魷魚羹_竹圍店.json,https://www.ubereats.com/tw/store/%E5%BB%96%E8%A8%98%E7%94%9F%E9%AD%B7%E9%AD%9A%E7%BE%B9-%E7%AB%B9%E5%9C%8D%E5%BA%97/PN5uVl1TVASGY6_zQuUFAg
2026-08-25,台北市士林區中山北路七段81巷,987f79f6ac44104ff28e674ccba6f078,九湯屋日本拉麵 淡水竹圍店,SUCCESS,48,4.8,1500,20260825232752_987f79f6_九湯屋日本拉麵_淡水竹圍店.json,https://www.ubereats.com/tw/store/%E4%B9%9D%E6%B9%AF%E5%B1%8B%E6%97%A5%E6%9C%AC%E6%8B%89%E9%BA%B5-%E6%B7%A1%E6%B0%B4%E7%AB%B9%E5%9C%8D%E5%BA%97/eQT3unXwQ-S48xP8HavV-Q
